team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Kentucky,1,23.9,16,1,0.94,40
Hampton,16,-3.8,0,4,0,246
Cincinnati,8,8.7,4,4,0.5,80
Purdue,9,9.9,8,9,0.47,30
West Virginia,5,11.5,7,9,0.44,15
Buffalo,12,7.5,0,3,0,111
Maryland,4,10.5,9,7,0.56,28
Valparaiso,13,5.7,0,1,0,287
Butler,6,12.8,7,10,0.41,25
Texas,11,12.5,3,13,0.19,16
Notre Dame,3,15.8,12,5,0.71,20
Northeastern,14,2.6,1,1,0.5,146
Wichita State,7,13.7,3,3,0.5,98
Indiana,10,9.7,6,12,0.33,33
Kansas,2,14.4,14,7,0.67,2
New Mexico State,15,4.5,0,3,0,216
Wisconsin,1,21.7,16,2,0.89,10
Coastal Carolina,16,2.6,0,2,0,318
Oregon,8,3.6,4,6,0.4,61
Oklahoma State,9,9.5,5,9,0.36,24
Arkansas,5,10,5,6,0.45,59
Wofford,12,4.2,1,3,0.25,192
North Carolina,4,17.8,10,11,0.48,1
Harvard,13,6.1,0,2,0,127
Xavier,6,9.5,9,8,0.53,18
Ole Miss,11,8.3,5,6,0.45,63
Baylor,3,13.6,8,8,0.5,13
Georgia State,14,7.7,1,3,0.25,156
VCU,7,12,7,8,0.47,54
Ohio State,10,16.3,7,10,0.41,34
Arizona,2,19.6,5,1,0.83,76
Texas Southern,15,-3,1,6,0.14,107
Villanova,1,19.3,14,2,0.88,55
Lafayette,16,-0.3,0,3,0,204
NC State,8,10.4,6,10,0.38,8
LSU,9,7.8,7,3,0.7,67
Northern Iowa,5,11.8,4,3,0.57,104
Wyoming,12,2.9,0,2,0,186
Louisville,4,14.8,9,9,0.5,5
UC Irvine,13,5.3,0,2,0,164
Providence,6,10.4,8,9,0.47,19
Dayton,11,9.4,6,4,0.6,77
Oklahoma,3,13.9,11,7,0.61,7
Albany,14,2.4,0,2,0,247
Michigan State,7,13.7,12,10,0.55,3
Georgia,10,8.6,3,7,0.3,44
Virginia,2,19.6,10,4,0.71,27
Belmont,15,2,0,3,0,160
Duke,1,22.4,14,4,0.78,4
Robert Morris,16,-0.5,0,3,0,207
San Diego State,8,7.7,3,3,0.5,79
St. John's,9,9.2,7,8,0.47,39
Utah,5,16.2,4,4,0.5,74
Stephen F. Austin,12,8.8,0,4,0,235
Georgetown,4,10.4,6,11,0.35,17
Eastern Washington,13,4.8,1,2,0.33,273
Southern Methodist,6,9.8,0,5,0,91
UCLA,11,4.8,2,8,0.2,53
Iowa State,3,13.8,13,5,0.72,9
UAB,14,0.5,2,3,0.4,131
Iowa,7,12.1,8,10,0.44,11
Davidson,10,10.3,4,6,0.4,70
Gonzaga,2,16.4,6,3,0.67,96
North Dakota State,15,-1.1,0,3,0,236
